race_name,short_race_name,date,lap,driver_ID,driver,section,speed_mph
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",S08_Turn10,55.002
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",S09_Turns11_12,80.161
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",S10_Turns13_14,61.741
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",S11_FS_PI,71.448
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",lap_speed_mph,65.333
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",S01_FS_PO,66.382
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",S02_Turn1,69.078
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",S03_Turns2_3,99.52
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",S04_Turn4,61.784
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",S05_Turns5_8,63.775
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",S06_Turn9,59.807
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",S07_Turn9a,75.301
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",S08_Turn10,65.318
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",S09_Turns11_12,89.897
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",S10_Turns13_14,65.132
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",S11_FS_PI,142.877
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,7,51,"Abel, Jacob",lap_speed_mph,75.673
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",S01_FS_PO,143.344
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",S02_Turn1,76.756
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",S03_Turns2_3,125.868
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",S04_Turn4,81.202
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",S05_Turns5_8,62.922
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",S06_Turn9,57.768
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",S07_Turn9a,125.859
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",S08_Turn10,80.314
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",S09_Turns11_12,122.751
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",S10_Turns13_14,80.4
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",S11_FS_PI,140.675
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,8,51,"Abel, Jacob",lap_speed_mph,95.609
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",S01_FS_PO,155.82
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",S02_Turn1,82.243
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",S03_Turns2_3,130.393
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",S04_Turn4,84.343
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",S05_Turns5_8,68.207
