Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,
David Fry,CLE,C,28,58,101,12,24,6,0,4,15,2,0,8,30,0,0,4,0.238,0.319,0.416,0.735,
Alika Williams,PIT,SS,24,46,101,7,20,5,0,0,6,0,0,9,35,1,0,1,0.198,0.27,0.248,0.518,
Ronny Mauricio,NYM,2B,22,26,101,11,25,4,0,2,9,7,0,7,31,0,0,0,0.248,0.296,0.347,0.643,
Jose Herrera,ARI,C,26,43,101,15,21,5,0,0,7,1,0,13,30,5,1,0,0.208,0.296,0.257,0.553,
Tyler Nevin,DET,3B,26,41,95,11,19,3,1,2,10,0,1,12,25,0,1,3,0.2,0.306,0.316,0.622,
Eric Hosmer,CHC,1B,34,31,94,7,22,3,0,2,14,0,0,6,25,0,0,0,0.234,0.28,0.33,0.61,
Alfonso Rivas,PIT,1B,27,40,94,6,22,8,1,3,14,1,0,7,29,1,1,3,0.234,0.305,0.436,0.741,
Richie Palacios,STL,OF,26,32,93,9,24,6,0,6,16,2,0,6,11,1,1,1,0.258,0.307,0.516,0.823,
Romy Gonzalez,CWS,2B,27,44,93,11,18,4,2,3,14,7,0,2,36,1,1,0,0.194,0.208,0.376,0.584,
Everson Pereira,NYY,OF,22,27,93,6,14,4,0,0,10,4,0,8,40,0,0,2,0.151,0.233,0.194,0.427,
Jace Peterson,ARI,3B,33,41,93,5,17,3,2,0,9,4,1,11,24,1,0,1,0.183,0.276,0.258,0.534,
Dominic Fletcher,ARI,OF,25,28,93,10,28,5,1,2,14,0,2,7,22,2,0,0,0.301,0.35,0.441,0.791,
Nick Gordon,MIN,OF,28,34,91,13,16,5,1,2,7,0,0,1,11,1,0,0,0.176,0.185,0.319,0.504,
Michael Chavis,WAS,2B,28,48,91,16,22,3,0,2,5,1,0,5,33,0,0,0,0.242,0.281,0.341,0.622,
Sam Haggerty,SEA,OF,29,52,91,13,23,3,1,1,5,10,1,15,17,1,0,1,0.253,0.364,0.341,0.705,
Jose Azocar,SD,OF,27,55,91,16,21,6,0,2,9,8,2,4,24,5,0,2,0.231,0.278,0.363,0.641,
Jonathan Davis,MIA,OF,31,34,90,22,22,4,1,2,10,1,2,7,29,2,2,2,0.244,0.307,0.378,0.685,
Matt Mervis,CHC,1B,25,27,90,8,15,2,0,3,11,0,0,8,32,0,0,1,0.167,0.242,0.289,0.531,
Luis Urias,BOS,2B,26,32,89,13,20,4,0,2,13,0,0,14,26,0,0,5,0.225,0.361,0.337,0.698,
David Fletcher,LAA,2B,29,33,89,7,22,1,0,2,12,0,0,7,9,1,0,0,0.247,0.302,0.326,0.628,
Jonah Bride,OAK,3B,28,40,88,9,15,3,0,0,7,0,1,11,22,1,2,4,0.17,0.286,0.205,0.491,
Cade Marlowe,SEA,OF,26,34,88,14,21,3,2,3,11,4,2,12,33,0,0,0,0.239,0.33,0.42,0.75,
Jonathan Aranda,TB,DH,25,34,87,13,20,4,1,2,13,0,0,13,31,0,1,2,0.23,0.34,0.368,0.708,
Carter Kieboom,WAS,3B,26,27,87,12,18,2,0,4,11,0,0,6,27,0,0,1,0.207,0.266,0.368,0.634,
Osleivis Basabe,TB,SS,23,31,87,15,19,5,0,1,12,0,1,6,25,0,0,1,0.218,0.277,0.31,0.587,
Joey Bart,SF,C,27,30,87,9,18,5,0,0,5,0,0,3,23,0,1,4,0.207,0.263,0.264,0.527,
Raimel Tapia,BOS,OF,29,39,87,14,23,4,1,1,10,6,1,9,19,0,0,0,0.264,0.333,0.368,0.701,
Luken Baker,STL,DH,26,33,86,9,18,3,0,2,10,0,0,13,31,0,0,0,0.209,0.313,0.314,0.627,
Cristian Pache,PHI,OF,25,48,84,12,20,7,1,2,11,2,3,10,27,1,0,0,0.238,0.319,0.417,0.736,
Miguel Andujar,PIT,OF,28,30,84,9,21,7,0,4,18,2,0,6,13,0,0,0,0.25,0.3,0.476,0.776,
Carson Kelly,ARI,C,29,33,84,6,19,3,0,1,6,1,0,7,23,0,1,0,0.226,0.283,0.298,0.581,
David Hensley,HOU,DH,27,30,84,12,10,1,0,1,3,1,0,10,35,0,0,0,0.119,0.213,0.167,0.38,
Curtis Mead,TB,3B,23,24,83,12,21,3,1,1,5,0,0,7,21,0,0,2,0.253,0.326,0.349,0.675,
Ceddanne Rafaela,BOS,OF,23,28,83,11,20,6,0,2,5,3,1,4,28,0,1,1,0.241,0.281,0.386,0.667,
Trayce Thompson,CWS,OF,32,36,82,5,14,2,0,1,3,2,0,9,40,0,0,1,0.171,0.261,0.232,0.493,
Hunter Dozier,KC,3B,32,29,82,8,15,2,1,2,9,2,0,8,29,0,1,0,0.183,0.253,0.305,0.558,
Hanser Alberto,CWS,2B,31,30,82,11,18,5,0,3,16,0,0,4,13,2,1,1,0.22,0.261,0.39,0.651,
Andrew Velazquez,LAA,SS,29,54,81,12,14,3,0,2,3,13,3,10,30,3,0,0,0.173,0.264,0.284,0.548,
Brayan Rocchio,CLE,SS,23,23,81,9,20,6,0,0,8,0,0,4,27,0,1,0,0.247,0.279,0.321,0.6,
Brett Sullivan,SD,C,29,33,81,7,17,3,0,1,6,0,0,4,19,0,1,0,0.21,0.244,0.284,0.528,
Curt Casali,CIN,C,35,40,80,8,14,2,0,0,6,0,0,11,23,3,0,2,0.175,0.29,0.2,0.49,
Brandon Dixon,SD,3B,31,33,79,10,16,4,0,2,9,1,0,1,31,0,2,4,0.203,0.244,0.329,0.573,
Xavier Edwards,MIA,2B,24,30,78,12,23,3,0,0,3,5,0,3,14,2,0,1,0.295,0.329,0.333,0.662,
Vidal Brujan,TB,2B,25,37,76,14,13,2,0,0,6,3,2,5,21,1,0,2,0.171,0.241,0.197,0.438,
Taylor Motter,STL,SS,34,29,76,3,13,3,0,0,2,0,0,5,31,0,0,1,0.171,0.232,0.211,0.443,
Wilyer Abreu,BOS,OF,24,28,76,10,24,6,0,2,14,3,1,9,23,0,0,0,0.316,0.388,0.474,0.862,
Vaughn Grissom,ATL,SS,23,23,75,5,21,3,1,0,9,0,1,2,15,0,1,2,0.28,0.313,0.347,0.66,
Yonathan Daza,COL,OF,29,24,74,8,20,6,0,0,7,1,0,3,13,1,1,1,0.27,0.304,0.351,0.655,
Henry Ramos,CIN,OF,31,23,74,9,18,3,1,0,5,2,1,11,21,0,0,1,0.243,0.349,0.311,0.66,
Ji Man Choi,PIT,1B,32,23,73,9,15,4,0,6,11,0,0,2,27,0,1,0,0.205,0.224,0.507,0.731,
Mike Brosseau,MIL,3B,29,29,73,4,15,2,0,4,8,0,0,4,20,0,0,1,0.205,0.256,0.397,0.653,
Conner Capel,OAK,OF,26,32,73,6,19,5,0,0,3,5,3,12,25,0,0,1,0.26,0.372,0.329,0.701,
Sam Hilliard,ATL,OF,29,40,72,15,17,5,0,3,6,4,0,6,33,0,0,0,0.236,0.295,0.431,0.726,
Michael Busch,LAD,3B,26,27,72,9,12,3,0,2,7,1,0,8,27,0,1,0,0.167,0.247,0.292,0.539,
Nick Martini,CIN,OF,33,29,72,10,19,3,1,6,16,0,0,5,15,0,0,2,0.264,0.329,0.583,0.912,
Trayce Thompson,LAD,OF,32,36,71,12,11,0,0,5,14,0,0,15,37,0,0,1,0.155,0.31,0.366,0.676,
Austin Wells,NYY,C,24,19,70,8,16,6,0,4,13,0,0,3,14,0,1,0,0.229,0.257,0.486,0.743,
Hunter Goodman,COL,OF,24,23,70,6,14,4,3,1,17,1,0,5,24,0,2,0,0.2,0.247,0.386,0.633,
