Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,
Marcus Semien,TEX,2B,33,162,670,122,185,40,4,29,100,14,3,72,110,0,5,5,0.276,0.348,0.478,0.826,
Julio Rodriguez,SEA,OF,23,155,654,102,180,37,2,32,103,37,10,47,175,0,2,11,0.275,0.333,0.485,0.818,
Ronald Acuna,ATL,OF,26,159,643,149,217,35,4,41,106,73,14,80,84,0,3,9,0.337,0.416,0.596,1.012,
Bobby Witt,KC,SS,23,158,641,97,177,28,11,30,96,49,15,40,121,1,8,4,0.276,0.319,0.495,0.814,
Trea Turner,PHI,SS,30,155,639,102,170,35,5,26,76,30,0,45,150,0,1,6,0.266,0.32,0.459,0.779,
Steven Kwan,CLE,OF,26,158,638,93,171,36,7,5,54,21,3,70,75,1,6,3,0.268,0.34,0.37,0.71,
Freddie Freeman,LAD,1B,34,161,637,131,211,59,2,29,102,23,1,72,121,0,5,16,0.331,0.41,0.567,0.977,
Austin Riley,ATL,3B,26,159,636,117,179,32,3,37,97,3,1,59,172,0,11,9,0.281,0.345,0.516,0.861,
Lane Thomas,WAS,OF,28,157,628,101,168,36,3,28,86,20,5,36,176,0,7,11,0.268,0.315,0.468,0.783,
Nick Castellanos,PHI,OF,31,157,626,79,170,37,2,29,106,11,2,36,185,0,6,3,0.272,0.311,0.476,0.787,
Teoscar Hernandez,SEA,OF,31,160,625,70,161,29,2,26,93,7,2,38,211,0,7,8,0.258,0.305,0.435,0.74,
Nathaniel Lowe,TEX,1B,28,161,623,89,163,38,3,17,82,1,0,93,165,0,3,5,0.262,0.36,0.414,0.774,
Alex Bregman,HOU,3B,29,161,622,103,163,28,4,25,98,3,1,92,87,0,2,8,0.262,0.363,0.441,0.804,
Nico Hoerner,CHC,SS,26,150,619,98,175,27,4,9,68,43,7,49,83,1,5,14,0.283,0.346,0.383,0.729,
George Springer,TOR,OF,34,154,613,87,158,25,1,21,72,20,5,60,125,0,3,5,0.258,0.327,0.405,0.732,
Jose Ramirez,CLE,3B,31,156,611,87,172,36,5,24,80,28,6,73,73,0,6,1,0.282,0.356,0.475,0.831,
Joey Meneses,WAS,DH,31,154,611,71,168,36,1,13,89,0,0,38,130,0,3,5,0.275,0.321,0.401,0.722,
Matt Olson,ATL,1B,29,162,608,127,172,27,3,54,139,1,0,104,167,0,4,4,0.283,0.389,0.604,0.993,
Spencer Torkelson,DET,1B,24,159,606,88,141,34,1,31,94,3,0,67,171,0,5,6,0.233,0.313,0.446,0.759,
Francisco Lindor,NYM,SS,30,160,602,108,153,33,2,31,98,31,4,66,137,0,7,12,0.254,0.336,0.47,0.806,
Vladimir Guerrero,TOR,1B,24,156,602,78,159,30,0,26,94,5,3,67,100,0,4,9,0.264,0.345,0.444,0.789,
Eugenio Suarez,SEA,3B,32,162,598,68,139,29,0,22,96,2,1,70,214,0,11,15,0.232,0.323,0.391,0.714,
