race_name,short_race_name,date,driver_ID,driver,team,chassis,engine,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,7," Lundgaard, Christian ",Arrow McLaren,Dallara,Chevy,12,12,12,12,9,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,4,4,4,3,2,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,15,13,10,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,12," Power, Will ",Team Penske,Dallara,Chevy,13,13,13,13,10,18,22,18,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,11,11,11,10,10,8,7,7,15,14,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,8,8,8,8,8,8,8,7,6,4,7,12,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,2," Newgarden, Josef ",Team Penske,Dallara,Chevy,14,27,27,25,25,23,19,15,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,9,9,8,19,24,23,18,15,13,12,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,18,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,,,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,9," Dixon, Scott ",Ganassi Racing,Dallara,Honda,15,14,14,14,11,6,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,5,5,4,3,2,2,3,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,9,7,6,4,3,2,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,15," Rahal, Graham ",Rahal Letterman Lanigan,Dallara,Honda,16,15,25,26,26,25,24,21,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,16,16,16,16,15,19,25,23,19,19,18,18,17,17,17,17,17,17,17,17,17,18,18,18,19,20,20,19,19,19,19,22,25,25,23,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,21," Rasmussen, Christian ",Ed Carpenter Racing,Dallara,Chevy,17,16,26,27,27,26,25,22,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,26,27,27,26,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,24,26,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,8," Simpson, Kyffin ",Ganassi Racing,Dallara,Honda,18,17,15,15,12,7,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,9,8,8,6,6,3,3,2,2,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,10,10,10,10,10,10,9,8,6,5,3,2,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,45," Foster, Louis ",Rahal Letterman Lanigan,Dallara,Honda,19,18,16,16,24,27,27,24,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,19,18,17,15,14,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,18,18,18,18,18,18,17,14,14,18,18,18,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,76," Daly, Conor ",Juncos Hollinger Racing,Dallara,Chevy,20,19,17,17,14,20,26,25,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,25,27,26,26,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,24,24,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,77," Robb, Sting Ray ",Juncos Hollinger Racing,Dallara,Chevy,21,20,18,18,15,9,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,17,17,17,17,16,15,12,10,8,5,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,10,9,9,9,9,9,9,8,7,5,4,6,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,90," Ilott, Callum ",Prema,Dallara,Chevy,22,21,19,19,16,11,12,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,20,19,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,22,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,,,,,,,,,,,
