race_name,short_race_name,date,lap,driver_ID,driver,section,speed_mph
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S08)BackStretchA,148.731
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S09_BackStretchB,161.518
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S10_Turn7,78.96
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S11_Turn8,104.53
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S12_Turn9,115.634
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S13_Turn9A,144.547
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S14_Turn10_13,134.853
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S15_Turn14,75.709
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S16_Turn14A,135.305
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S17_Turn14B,159.081
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S18_Turn15_16,94.952
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S19_Turn17,117.019
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",S20_FS_PI,128.383
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,6,51,"Abel, Jacob",lap_speed_mph,103.603
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S01_FS_PO,148.844
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S02_Turn1Entry,63.454
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S03_Turn1Exit,115.696
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S04_Turn1A,144.085
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S05_Turn2_3,79.955
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S06_Turn4_5,77.956
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S07_Turn6,85.39
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S08)BackStretchA,156.003
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S09_BackStretchB,166.409
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S10_Turn7,78.947
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S11_Turn8,103.644
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S12_Turn9,117.618
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S13_Turn9A,145.521
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S14_Turn10_13,133.854
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S15_Turn14,74.962
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S16_Turn14A,132.014
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S17_Turn14B,158.024
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S18_Turn15_16,95.565
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S19_Turn17,125.004
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",S20_FS_PI,130.924
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,7,51,"Abel, Jacob",lap_speed_mph,103.982
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S01_FS_PO,147.73
