person_number,pid,level,func_dept,region,emailcount,meetingcount,centrality,emailcount_int,meetingcount_int,emailcount_ext,meetingcount_ext,attainquota
132,564,Exec,Product Management,Central,9803,0,0.61572987,6385,0,3418,0,NA
133,566,Exec,R&D,Central,9128,4779,0.46336037,7532,3837,1596,942,NA
134,567,MidLevel,Marketing,Central,4660,5863,0.32201421,3680,4201,980,1662,NA
135,568,Junior,G&A,Central,15577,5768,0.79350609,12063,4653,3514,1115,NA
136,571,Junior,Marketing,Central,3557,3024,0.21603379,1915,2317,1642,707,NA
137,572,MidLevel,R&D,East,5551,3248,0.35152495,3431,2179,2120,1069,NA
138,573,Junior,Marketing,Central,2432,4265,0.19470605,1860,3299,572,966,NA
139,599,MidLevel,R&D,Central,13367,0,0.46835294,11575,0,1792,0,NA
140,600,Exec,Product Management,Central,7084,2949,0.50209051,5034,2278,2050,671,NA
141,602,MidLevel,Operations,Central,6111,1459,0.18974657,3057,1284,3054,175,NA
142,603,MidLevel,Operations,Central,2919,1310,0.15665236,2889,1205,30,105,NA
143,606,Junior,Marketing,Central,3189,1102,0.17954499,2177,984,1012,118,NA
144,609,Junior,Marketing,Central,3337,2612,0.29399312,2793,2115,544,497,NA
145,610,MidLevel,R&D,Central,14057,0,0.32880685,9317,0,4740,0,NA
146,611,Junior,Marketing,Central,3714,704,0.18526964,2272,510,1442,194,NA
147,612,MidLevel,R&D,Central,5688,0,0.19349727,4340,0,1348,0,NA
148,617,Junior,HR,Central,1006,10,0.049585722,690,9,316,1,NA
149,620,Junior,HR,Central,2794,491,0.20032103,2114,435,680,56,NA
150,627,Junior,Marketing,Central,6559,2232,0.58803397,5865,1863,694,369,NA
151,628,MidLevel,G&A,Central,12966,0,0.87387109,10952,0,2014,0,NA
152,629,Exec,G&A,Central,16707,2510,0.63157248,13329,2164,3378,346,NA
153,636,Exec,Marketing,Central,12735,2565,0.48493591,10961,2156,1774,409,NA
154,639,MidLevel,R&D,Central,3930,4655,0.278851,3902,4027,28,628,NA
155,649,Junior,R&D,Central,6573,0,0.48915055,5037,0,1536,0,NA
156,654,Exec,Product Management,Central,3825,6398,0.4100647,3825,5073,0,1325,NA
157,663,Exec,Operations,Central,11373,1710,0.63071942,9911,1543,1462,167,NA
158,667,Junior,G&A,Central,3982,389,0.35340595,3176,330,806,59,NA
159,668,Junior,R&D,Central,13301,0,0.82317859,11237,0,2064,0,NA
160,669,Junior,HR,Central,12015,1213,0.8188709,6793,1040,5222,173,NA
161,680,Junior,Operations,Central,966,0,0.096941121,726,0,240,0,NA
162,681,Junior,Marketing,Central,2502,1915,0.29918668,2502,1671,0,244,NA
163,682,MidLevel,HR,Central,656,0,0.11873758,536,0,120,0,NA
164,683,Junior,G&A,Central,2802,1481,0.23519084,2546,1330,256,151,NA
165,684,Junior,Operations,Central,260,395,0.039492801,260,389,0,6,NA
166,687,Junior,Operations,Central,12281,0,0.82588381,10135,0,2146,0,NA
167,688,Junior,R&D,Central,678,695,0.14454414,600,627,78,68,NA
168,689,Exec,Marketing,Central,18182.3,0,0.73027998,8243,0,9939.3,0,NA
169,695,Junior,Operations,Central,4753,544,0.24261074,4083,504,670,40,NA
170,699,MidLevel,Operations,Central,18200.3,1723,0.97525324,12992,1556,5208.3,167,NA
171,702,Junior,R&D,Central,10616,1483,0.75060034,9198,1289,1418,194,NA
172,704,Junior,R&D,Central,1296,1414,0.10834134,1210,1292,86,122,NA
173,708,MidLevel,Marketing,Central,6794,2246,0.26032311,3900,1719,2894,527,NA
174,709,MidLevel,Marketing,Central,3090,2174,0.29210231,3090,1690,0,484,NA
175,711,Junior,Operations,Central,474,37,0.064989425,336,31,138,6,NA
176,715,Junior,G&A,Central,3298,640,0.19758743,2380,549,918,91,NA
177,719,MidLevel,Marketing,Central,7025,2134,0.41567567,5373,1824,1652,310,NA
178,721,Junior,G&A,Central,9871,1315,0.37298942,5305,1173,4566,142,NA
179,722,MidLevel,Sales,Central,13663,876,0.48332998,5805,764,7858,112,108.4791
180,723,Exec,G&A,Central,3572,1676,0.38855585,3536,1459,36,217,NA
181,724,MidLevel,G&A,Central,2866,3311,0.33752465,2866,2594,0,717,NA
182,726,MidLevel,Operations,Central,6327,1435,0.56053656,5777,1302,550,133,NA
183,731,Junior,G&A,Central,8070,1511,0.54335594,5604,1286,2466,225,NA
184,733,MidLevel,G&A,Central,5457,1175,0.34847936,4757,1064,700,111,NA
185,736,Junior,Operations,Central,2940,8,0.24573727,1270,8,1670,0,NA
186,739,MidLevel,G&A,Central,13232,1270,0.34001756,8234,1032,4998,238,NA
187,742,Junior,Product Management,Central,386,697,0.083183102,386,625,0,72,NA
188,750,Junior,Marketing,Central,12821,1696,0.29748425,10381,1478,2440,218,NA
189,752,Junior,Sales,Central,17687,856,0.82504529,11435,714,6252,142,162.06876
190,753,Junior,Marketing,Central,3011,1734,0.25392798,2845,1277,166,457,NA
191,754,Junior,Operations,Central,1461,0,0.1125266,985,0,476,0,NA
192,756,Junior,G&A,Central,14928,1905,0.36538085,9966,1672,4962,233,NA
193,759,Junior,Operations,Central,11718,513,0.37113869,4468,457,7250,56,NA
194,760,Junior,Operations,Central,8201,916,0.75338942,5421,844,2780,72,NA
195,761,Junior,Operations,Central,2051,1008,0.17339042,2051,908,0,100,NA
196,763,MidLevel,G&A,Central,2538,408,0.21564832,2372,380,166,28,NA
197,764,MidLevel,Marketing,Central,9474,2643,0.45797455,7166,2112,2308,531,NA
198,766,Exec,Marketing,Central,13901,1709,0.51107979,12235,1506,1666,203,NA
199,768,Junior,Operations,Central,4681,0,0.24394852,3721,0,960,0,NA
200,769,Junior,Operations,Central,1650,796,0.20067248,1172,753,478,43,NA
201,771,MidLevel,R&D,Central,6633,1431,0.51704395,4563,1280,2070,151,NA
202,773,Junior,Operations,Central,919,461,0.092561685,651,418,268,43,NA
203,775,MidLevel,Product Management,Central,1590,201,0.18772942,1184,173,406,28,NA
204,777,MidLevel,Marketing,Central,13050,1482,0.49492508,7014,1237,6036,245,NA
205,778,Junior,R&D,Central,1241,1287,0.21592289,1089,1171,152,116,NA
206,779,Junior,HR,Central,14376,2084,0.88225716,10806,1710,3570,374,NA
207,780,MidLevel,G&A,Central,5969,1147,0.24703686,3743,1044,2226,103,NA
208,781,Junior,Operations,Central,6664,734,0.53468549,4798,653,1866,81,NA
209,783,Junior,G&A,Central,5524,984,0.47081339,4000,882,1524,102,NA
210,785,Junior,Marketing,Central,5579,1728,0.14513148,4633,1484,946,244,NA
211,786,Exec,Sales,Central,15273,1104,0.54011315,11847,996,3426,108,180.58899
212,788,MidLevel,G&A,Central,2672,1419,0.2467894,2068,1249,604,170,NA
213,789,MidLevel,Marketing,Central,20251,1487,0.45155495,14583,1319,5668,168,NA
214,790,Junior,G&A,Central,1748,1171,0.18472865,1628,1047,120,124,NA
215,792,Junior,G&A,Central,2801,1316,0.13522331,2099,1195,702,121,NA
216,793,MidLevel,G&A,Central,3698,1686,0.28871757,3698,1461,0,225,NA
217,796,Junior,Marketing,Central,10534,1788,0.50305033,6758,1461,3776,327,NA
218,805,Junior,HR,Central,9509,1126,0.44532499,5365,917,4144,209,NA
219,807,Junior,Operations,Central,177,537,0.036858406,165,491,12,46,NA
220,812,MidLevel,Sales,Central,5430,1547,0.39381859,3836,1332,1594,215,178.3741
221,818,MidLevel,G&A,Central,6937,1721,0.5077067,5259,1529,1678,192,NA
222,819,Junior,Marketing,Central,2232,2863,0.16345626,1576,2169,656,694,NA
223,823,Junior,G&A,Central,2623,1170,0.21636951,2059,1049,564,121,NA
224,830,Exec,Product Management,Central,7658,1926,0.4175218,4988,1499,2670,427,NA
225,833,Exec,G&A,Central,4113,0,0.25399378,3613,0,500,0,NA
226,837,Junior,G&A,Central,884,1174,0.092518792,730,1068,154,106,NA
227,838,Exec,Product Management,Central,6426,5983,0.40245947,5068,4112,1358,1871,NA
228,842,MidLevel,Marketing,Central,16200,0,0.28335637,13946,0,2254,0,NA
229,843,Exec,HR,Central,3153,1421,0.60302776,3153,1181,0,240,NA
230,844,Junior,G&A,Central,16552,0,0.54903716,10744,0,5808,0,NA
231,845,MidLevel,G&A,Central,8874,0,0.2724238,7300,0,1574,0,NA
