pitcherID_2024,player,age,team,team_rank,team_wins,team_win_pct,league,division,team_division_standing,salary,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
67,KirbyYates,37,LAD,1,98,0.605,NL,NL_West,1,4500000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0.25
68,BryanAbreu,27,HOU,11,88,0.547,AL,AL_West,1,1750000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,3,0
69,JasonAdam,32,SD,5,93,0.574,NL,NL_West,2,2700000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70,TylerAlexander,29,MIL,4,93,0.574,AL,NL_Central,1,1950000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0.333
71,ShawnArmstrong,33,TEX,21,78,0.481,AL,AL_West,3,,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0
72,BryanBaker,29,BAL,7,91,0.562,AL,AL_East,2,,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0.333
73,AnthonyBanda,30,LAD,1,98,0.605,NL,NL_West,1,740000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
74,JalenBeeks,30,ARI,9,89,0.549,NL,NL_West,3,1675000,0,0,0,1,0,0,0,0,0,1.2,0,0,0,0,0,0,1,0,0
75,RyanBorucki,30,PIT,23,76,0.469,NL,NL_Central,5,1600000,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0
76,RyanBrasier,36,CHC,16,83,0.512,NL,NL_Central,2,4500000,0,0,9,1,0,0,0,0,0,1,2,1,1,0,0,1,1,3,0.4
77,BeauBrieske,26,DET,13,86,0.531,AL,AL_Central,3,740000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
78,AroldisChapman,36,BOS,18,81,0.5,AL,AL_East,3,10500000,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0.25
79,EmmanuelClase,26,CLE,6,92,0.571,AL,AL_Central,1,2900000,1,0,9,1,0,0,0,0,1,1,3,1,1,0,0,0,1,3,0.6
80,MikeClevinger,33,CWS,30,41,0.253,AL,AL_Central,5,3000000,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,1,1,3,0
81,JackDreyer,,LAD,1,98,0.605,NL,NL_West,1,,0,0,9,1,0,0,0,0,0,1,2,1,1,0,0,0,1,2,0.4
82,JeremiahEstrada,25,SD,5,93,0.574,NL,NL_West,2,740000,0,0,0,1,0,0,0,0,0,1.1,0,0,0,0,0,1,1,0.75,0
83,CarlosEstévez,31,KC,12,86,0.531,AL,AL_Central,2,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
84,CalebFerguson,27,PIT,23,76,0.469,NL,NL_Central,5,2400000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
85,KyleFinnegan,32,WAS,25,71,0.438,NL,NL_East,4,5100000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,3,0.25
86,KyleFreeland,31,COL,29,61,0.377,NL,NL_West,5,15000000,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
87,HunterGaddis,26,CLE,6,92,0.571,AL,AL_Central,1,740700,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
88,ChadGreen,33,TOR,24,74,0.457,AL,AL_East,5,10500000,0,0,27,1,0,0,0,0,0,0.1,1,1,1,1,0,0,1,3,0.5
89,BrenanHanifee,26,DET,13,86,0.531,AL,AL_Central,3,740000,0,0,9,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0.25
90,HunterHarvey,29,KC,12,86,0.531,AL,AL_Central,2,2325000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
91,ColinHolderman,28,PIT,23,76,0.469,NL,NL_Central,5,755000,0,0,18,1,0,0,0,0,1,1,2,2,2,0,0,2,1,4,0.4
92,BryanHudson,27,MIL,4,93,0.574,AL,NL_Central,1,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0
93,LukeJackson,32,TEX,21,78,0.481,AL,AL_West,3,6500000,0,1,81,1,0,0,0,0,0,0.1,2,3,3,1,0,1,1,9,0.667
94,AlekJacob,26,SD,5,93,0.574,NL,NL_West,2,,0,0,9,1,0,0,0,0,0,1,3,1,1,1,0,0,1,3,0.5
95,GriffinJax,29,MIN,17,82,0.506,AL,AL_Central,2,761750,0,0,13.5,1,0,0,0,0,0,0.2,1,1,1,1,0,1,1,3,0.333
96,RyanJohnson,,LAA,27,63,0.389,AL,AL_West,5,,0,0,27,1,0,0,0,0,0,1.2,4,5,5,2,0,1,1,3,0.444
97,OrionKerkering,23,PHI,2,95,0.586,NL,NL_East,1,742500,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0.4
98,JoséLeclerc,30,OAK,26,69,0.426,AL,AL_West,4,,0,1,81,1,0,0,0,0,1,0.1,2,3,3,2,0,1,1,9,0.667
99,RichardLovelady,28,TOR,24,74,0.457,AL,AL_East,5,740000,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,1,1,1,1.5,0
100,PhilMaton,31,STL,15,83,0.512,NL,NL_Central,3,6250000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0.25
101,ErikMiller,26,SF,20,80,0.494,NL,NL_West,4,740000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
102,SamMoll,32,CIN,22,77,0.475,NL,NL_Central,4,760000,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0
103,EliMorgan,28,CHC,16,83,0.512,NL,NL_Central,2,751200,0,0,0,1,0,0,0,0,0,1.1,1,0,0,0,0,0,1,0.75,0.2
104,AndrésMuñoz,25,SEA,14,85,0.525,AL,AL_West,2,,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0
